@relation whatever

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute label numeric


@data
0.061898258 , 0.0498521673 , 0.2015439388 , 0.7369915517 , 0.3408531505 , 0.6349734226 , 0.4061113228 , 0.6553594563 , 0.8983492823 , 0.0164287603 , 0.2511189018 
0.4424180663 , 0.589891775 , 0.4562658458 , 0.1093445923 , 0.3269683421 , 0.3717620727 , 0.6979464404 , 0.8112672665 , 0.5802696128 , 0.3807951976 , 0.2635957766 
0.2626139773 , 0.7923858725 , 0.6283458825 , 0.1854359661 , 0.7472510296 , 0.7386125852 , 0.5627039173 , 0.5135177244 , 0.2118991972 , 0.47495601 , 0.3080799803 
0.3570484403 , 0.2737974557 , 0.5248081773 , 0.5585923791 , 0.0107890074 , 0.8656613277 , 0.1935658022 , 0.4169003302 , 0.5210207845 , 0.0919150845 , 0.2030568287 
0.4333290905 , 0.9634388508 , 0.68180686 , 0.8895949363 , 0.0727834436 , 0.0087752021 , 0.2613570089 , 0.770729884 , 0.8200424686 , 0.8416266218 , 0.442073976 
0.1515250816 , 0.0826564464 , 0.6340124942 , 0.7798709641 , 0.2680924125 , 0.3812635243 , 0.5184835498 , 0.8307963298 , 0.8947812486 , 0.730382747 , 0.3550338092 
0.3057523398 , 0.2518296889 , 0.0041802027 , 0.830560517 , 0.810422068 , 0.0149692101 , 0.6962218448 , 0.0039878702 , 0.4318695404 , 0.2172426293 , 0.2222205358 
0.0959029552 , 0.8651986308 , 0.1806814806 , 0.7777098152 , 0.7547935671 , 0.2534649242 , 0.7864850173 , 0.0161505765 , 0.0241948082 , 0.6065274864 , 0.3016482702 
0.8577771983 , 0.1757198898 , 0.6891839327 , 0.491789693 , 0.9555908544 , 0.9572763452 , 0.8730532173 , 0.4740744042 , 0.788072675 , 0.767834466 , 0.5510619448 
0.2044571512 , 0.0938250148 , 0.0196641549 , 0.2086373544 , 0.9243855318 , 0.8300862228 , 0.2236065646 , 0.6206073766 , 0.8340740935 , 0.6554761054 , 0.3198535763 
0.8378500063 , 0.9299770487 , 0.5206747362 , 0.0185314869 , 0.7076868638 , 0.2754683038 , 0.271996411 , 0.4941718811 , 0.2916188804 , 0.2961912192 , 0.290595773 
0.1006993675 , 0.1493960787 , 0.4719111091 , 0.7898833002 , 0.6411857717 , 0.4275019635 , 0.7471596454 , 0.514238989 , 0.9015763677 , 0.5352323204 , 0.3394955253 
0.2820734549 , 0.1060335194 , 0.6290573352 , 0.3017376098 , 0.3146708738 , 0.553442867 , 0.1318238331 , 0.5382774384 , 0.174050244 , 0.9658979266 , 0.2253256439 
0.1937535438 , 0.0119002503 , 0.8958749752 , 0.7144282805 , 0.0304317372 , 0.6035618391 , 0.9898965843 , 0.3024281482 , 0.0977337202 , 0.2815154647 , 0.2876055644 
0.5986193675 , 0.1984330881 , 0.4309115433 , 0.0705304765 , 0.9883163883 , 0.0720973155 , 0.4980324404 , 0.7354760342 , 0.5863363044 , 0.3996088081 , 0.286278622 
0.2707083547 , 0.8684097598 , 0.5056423275 , 0.8997656903 , 0.1701473696 , 0.8203132013 , 0.4532085573 , 0.3019712027 , 0.3585906401 , 0.6272588014 , 0.3413160315 
0.2678691293 , 0.5523441839 , 0.6391590517 , 0.1637441046 , 0.2667724644 , 0.6695907889 , 0.7673059436 , 0.2566690487 , 0.9720189371 , 0.8650396643 , 0.3679445612 
0.5381845133 , 0.5706383046 , 0.0634727525 , 0.9690960571 , 0.6411687816 , 0.0517891408 , 0.0411933726 , 0.139201222 , 0.787265175 , 0.627529677 , 0.300687995 
0.5388100301 , 0.0579735301 , 0.4959394368 , 0.044452358 , 0.9577392205 , 0.6660868069 , 0.8647655593 , 0.4109477778 , 0.9680580096 , 0.2233561995 , 0.3806267015 
0.0382065796 , 0.2359271394 , 0.7757003838 , 0.6773656313 , 0.399671244 , 0.0424728482 , 0.3469564207 , 0.1669771881 , 0.2991418974 , 0.3189753578 , 0.1618688981 
